site,birthyear,dct_dist,race
SAL,1994,387.991713655956,redacted
SAL,1963,902.202142648398,redacted
SAL,1994,873.89340355156,redacted
SAL,1995,649.95266803077,redacted
SAL,1990,1608.92025686876,redacted
SAL,1952,516.305482773239,redacted
SAL,1994,349.53591684659,redacted
SAL,1988,140.931350757227,redacted
SAL,1973,582.169267545518,redacted
SAL,1993,506.847827967557,redacted
SAL,1961,885.487641343452,redacted
SAL,1943,420.966845334921,aawhite
SAL,1994,1127.94861886336,aawhite
SAL,1949,211.959579006455,aawhite
SAL,1961,853.655231009325,redacted
SAL,1952,1333.01977525771,redacted
SAL,1996,496.257971713283,redacted
